epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,50.2735,1.64052,1.04417,1.1214,0.87031,0.375,0.39128,0.15488,2.25309,1.17002,1.45149,0.00111139,0.00111139,0.00111139
103,50.7526,1.81562,1.16563,1.1758,0.87031,0.375,0.39128,0.15488,2.25309,1.17002,1.45149,0.00110589,0.00110589,0.00110589
104,51.2244,1.65492,1.02788,1.07457,0.87031,0.375,0.39128,0.15488,2.25309,1.17002,1.45149,0.00110039,0.00110039,0.00110039
105,51.7029,1.67613,1.03346,1.0948,0.87031,0.375,0.39128,0.15488,2.25309,1.17002,1.45149,0.00109489,0.00109489,0.00109489
106,52.1866,1.61618,1.03129,1.04579,0.84792,0.375,0.37994,0.16019,2.22189,1.16898,1.4558,0.00108938,0.00108938,0.00108938
107,52.6718,1.6462,1.05286,1.10333,0.84792,0.375,0.37994,0.16019,2.22189,1.16898,1.4558,0.00108388,0.00108388,0.00108388
108,53.1523,1.59526,0.9922,1.03988,0.84792,0.375,0.37994,0.16019,2.22189,1.16898,1.4558,0.00107838,0.00107838,0.00107838
109,53.6502,1.61775,1.03583,1.07379,0.84792,0.375,0.37994,0.16019,2.22189,1.16898,1.4558,0.00107288,0.00107288,0.00107288
110,54.1357,1.60204,0.99581,1.0785,0.85704,0.36875,0.36278,0.15315,2.22537,1.16685,1.43628,0.00106738,0.00106738,0.00106738
111,54.605,1.59464,1.15611,1.07908,0.85704,0.36875,0.36278,0.15315,2.22537,1.16685,1.43628,0.00106188,0.00106188,0.00106188
112,55.064,1.7605,1.18951,1.22859,0.85704,0.36875,0.36278,0.15315,2.22537,1.16685,1.43628,0.00105638,0.00105638,0.00105638
113,55.533,1.55935,1.02317,1.06132,0.85704,0.36875,0.36278,0.15315,2.22537,1.16685,1.43628,0.00105088,0.00105088,0.00105088
114,56.0109,1.55928,1.061,1.10003,0.87837,0.34375,0.37303,0.14912,2.30679,1.15398,1.44358,0.00104538,0.00104538,0.00104538
115,56.4877,1.52837,0.98064,1.01545,0.87837,0.34375,0.37303,0.14912,2.30679,1.15398,1.44358,0.00103987,0.00103987,0.00103987
116,56.9522,1.55921,1.04843,1.04459,0.87837,0.34375,0.37303,0.14912,2.30679,1.15398,1.44358,0.00103437,0.00103437,0.00103437
117,57.4231,1.59914,0.9884,1.04293,0.87837,0.34375,0.37303,0.14912,2.30679,1.15398,1.44358,0.00102887,0.00102887,0.00102887
118,57.914,1.55902,1.00629,1.03843,0.86827,0.3625,0.37512,0.14324,2.33282,1.13531,1.47383,0.00102337,0.00102337,0.00102337
119,58.3835,1.52878,0.98647,1.00954,0.86827,0.3625,0.37512,0.14324,2.33282,1.13531,1.47383,0.00101787,0.00101787,0.00101787
120,58.849,1.68237,1.12448,1.10532,0.86827,0.3625,0.37512,0.14324,2.33282,1.13531,1.47383,0.00101237,0.00101237,0.00101237
121,59.3254,1.54249,0.95709,1.05574,0.86827,0.3625,0.37512,0.14324,2.33282,1.13531,1.47383,0.00100687,0.00100687,0.00100687
122,59.8088,1.56244,0.97972,1.06306,0.86802,0.3625,0.38124,0.15195,2.2592,1.11669,1.46073,0.00100137,0.00100137,0.00100137
123,60.2802,1.64677,0.98535,1.07451,0.86802,0.3625,0.38124,0.15195,2.2592,1.11669,1.46073,0.000995866,0.000995866,0.000995866
124,60.7497,1.55382,0.97997,1.04404,0.86802,0.3625,0.38124,0.15195,2.2592,1.11669,1.46073,0.000990365,0.000990365,0.000990365
125,61.2148,1.57919,1.01935,1.10026,0.86802,0.3625,0.38124,0.15195,2.2592,1.11669,1.46073,0.000984864,0.000984864,0.000984864
126,61.7026,1.51625,1.0289,1.06011,0.89289,0.36681,0.40246,0.14871,2.29472,1.11921,1.49887,0.000979362,0.000979362,0.000979362
127,62.1723,1.56963,0.96919,1.03849,0.89289,0.36681,0.40246,0.14871,2.29472,1.11921,1.49887,0.000973861,0.000973861,0.000973861
128,62.647,1.57863,0.98187,1.09468,0.89289,0.36681,0.40246,0.14871,2.29472,1.11921,1.49887,0.00096836,0.00096836,0.00096836
129,63.1107,1.43744,1.04601,1.04322,0.89289,0.36681,0.40246,0.14871,2.29472,1.11921,1.49887,0.000962859,0.000962859,0.000962859
130,63.604,1.65718,1.0357,1.11257,0.88413,0.35625,0.39177,0.14073,2.34861,1.13393,1.53413,0.000957358,0.000957358,0.000957358
131,64.067,1.51493,0.90991,1.01414,0.88413,0.35625,0.39177,0.14073,2.34861,1.13393,1.53413,0.000951857,0.000951857,0.000951857
132,64.5364,1.62281,1.02141,1.0233,0.88413,0.35625,0.39177,0.14073,2.34861,1.13393,1.53413,0.000946356,0.000946356,0.000946356
133,65.0043,1.53186,0.94943,1.03252,0.88413,0.35625,0.39177,0.14073,2.34861,1.13393,1.53413,0.000940855,0.000940855,0.000940855
134,65.4908,1.43219,0.90846,1.03642,0.89015,0.375,0.38538,0.1378,2.2765,1.11243,1.47991,0.000935354,0.000935354,0.000935354
135,65.9511,1.62421,0.98093,1.07067,0.89015,0.375,0.38538,0.1378,2.2765,1.11243,1.47991,0.000929853,0.000929853,0.000929853
136,66.4177,1.55549,1.004,1.06714,0.89015,0.375,0.38538,0.1378,2.2765,1.11243,1.47991,0.000924352,0.000924352,0.000924352
137,66.8965,1.58114,1.01881,1.00395,0.89015,0.375,0.38538,0.1378,2.2765,1.11243,1.47991,0.00091885,0.00091885,0.00091885
138,67.3792,1.54487,0.99162,1.09222,0.87737,0.3625,0.36961,0.14681,2.2443,1.1213,1.44973,0.000913349,0.000913349,0.000913349
139,67.8466,1.59282,0.98269,1.06782,0.87737,0.3625,0.36961,0.14681,2.2443,1.1213,1.44973,0.000907848,0.000907848,0.000907848
140,68.3138,1.51611,1.00809,1.13222,0.87737,0.3625,0.36961,0.14681,2.2443,1.1213,1.44973,0.000902347,0.000902347,0.000902347
141,68.7832,1.49602,0.95653,1.03159,0.87737,0.3625,0.36961,0.14681,2.2443,1.1213,1.44973,0.000896846,0.000896846,0.000896846
142,69.2647,1.51611,0.97394,1.02141,0.86796,0.36578,0.37049,0.14545,2.29591,1.14334,1.49839,0.000891345,0.000891345,0.000891345
143,69.7372,1.61267,0.98296,1.04702,0.86796,0.36578,0.37049,0.14545,2.29591,1.14334,1.49839,0.000885844,0.000885844,0.000885844
144,70.2065,1.52149,0.9573,1.02161,0.86796,0.36578,0.37049,0.14545,2.29591,1.14334,1.49839,0.000880343,0.000880343,0.000880343
145,70.679,1.63368,1.01708,1.08835,0.86796,0.36578,0.37049,0.14545,2.29591,1.14334,1.49839,0.000874842,0.000874842,0.000874842
146,71.1596,1.5012,1.00984,1.04738,0.88403,0.35625,0.37941,0.13742,2.30742,1.15591,1.51261,0.00086934,0.00086934,0.00086934
147,71.6378,1.43073,0.91794,0.98919,0.88403,0.35625,0.37941,0.13742,2.30742,1.15591,1.51261,0.000863839,0.000863839,0.000863839
148,72.0973,1.47323,0.96279,1.03964,0.88403,0.35625,0.37941,0.13742,2.30742,1.15591,1.51261,0.000858338,0.000858338,0.000858338
149,72.5695,1.43418,0.90613,1.00268,0.88403,0.35625,0.37941,0.13742,2.30742,1.15591,1.51261,0.000852837,0.000852837,0.000852837
150,73.0469,1.66201,1.05222,1.07527,0.89352,0.3696,0.3856,0.14999,2.25963,1.09621,1.48027,0.000847336,0.000847336,0.000847336
151,73.5248,1.51212,0.98256,0.9941,0.89352,0.3696,0.3856,0.14999,2.25963,1.09621,1.48027,0.000841835,0.000841835,0.000841835
152,73.9882,1.49564,0.95714,1.07682,0.89352,0.3696,0.3856,0.14999,2.25963,1.09621,1.48027,0.000836334,0.000836334,0.000836334
153,74.4615,1.41972,0.88745,1.03522,0.89352,0.3696,0.3856,0.14999,2.25963,1.09621,1.48027,0.000830833,0.000830833,0.000830833
154,74.9386,1.42815,0.9256,1.0156,0.90427,0.36953,0.39736,0.13887,2.29129,1.07626,1.49387,0.000825332,0.000825332,0.000825332
155,75.41,1.36825,0.83318,0.99678,0.90427,0.36953,0.39736,0.13887,2.29129,1.07626,1.49387,0.000819831,0.000819831,0.000819831
156,75.8749,1.47797,0.90541,1.0469,0.90427,0.36953,0.39736,0.13887,2.29129,1.07626,1.49387,0.000814329,0.000814329,0.000814329
157,76.3412,1.51982,0.96302,1.04874,0.90427,0.36953,0.39736,0.13887,2.29129,1.07626,1.49387,0.000808828,0.000808828,0.000808828
158,76.8256,1.41012,0.87614,0.97923,0.89009,0.3771,0.40515,0.14365,2.34792,1.09634,1.52066,0.000803327,0.000803327,0.000803327
159,77.3021,1.37547,0.87582,0.99466,0.89009,0.3771,0.40515,0.14365,2.34792,1.09634,1.52066,0.000797826,0.000797826,0.000797826
160,77.7785,1.50962,0.93573,1.03262,0.89009,0.3771,0.40515,0.14365,2.34792,1.09634,1.52066,0.000792325,0.000792325,0.000792325
161,78.2469,1.50793,0.9314,1.03314,0.89009,0.3771,0.40515,0.14365,2.34792,1.09634,1.52066,0.000786824,0.000786824,0.000786824
162,78.7376,1.5518,1.00099,1.07994,0.88405,0.3625,0.3814,0.14339,2.31561,1.12319,1.51142,0.000781323,0.000781323,0.000781323
163,79.2027,1.5291,0.92146,1.04699,0.88405,0.3625,0.3814,0.14339,2.31561,1.12319,1.51142,0.000775822,0.000775822,0.000775822
164,79.6807,1.5395,0.94719,1.03448,0.88405,0.3625,0.3814,0.14339,2.31561,1.12319,1.51142,0.000770321,0.000770321,0.000770321
165,80.1474,1.43598,0.90926,0.99674,0.88405,0.3625,0.3814,0.14339,2.31561,1.12319,1.51142,0.00076482,0.00076482,0.00076482
166,80.6379,1.35431,0.86321,0.98105,0.89207,0.34059,0.36469,0.14542,2.34822,1.13717,1.53996,0.000759318,0.000759318,0.000759318
167,81.095,1.46651,0.95725,1.04266,0.89207,0.34059,0.36469,0.14542,2.34822,1.13717,1.53996,0.000753817,0.000753817,0.000753817
168,81.5678,1.5039,0.94848,1.01201,0.89207,0.34059,0.36469,0.14542,2.34822,1.13717,1.53996,0.000748316,0.000748316,0.000748316
169,82.0352,1.43688,0.8966,0.95572,0.89207,0.34059,0.36469,0.14542,2.34822,1.13717,1.53996,0.000742815,0.000742815,0.000742815
170,82.5234,1.52945,0.9505,1.04935,0.90147,0.33106,0.37733,0.13838,2.38587,1.14484,1.57017,0.000737314,0.000737314,0.000737314
171,82.9894,1.45349,0.87957,1.03373,0.90147,0.33106,0.37733,0.13838,2.38587,1.14484,1.57017,0.000731813,0.000731813,0.000731813
172,83.4558,1.48633,0.94008,1.03004,0.90147,0.33106,0.37733,0.13838,2.38587,1.14484,1.57017,0.000726312,0.000726312,0.000726312
173,83.9221,1.36778,0.91243,1.00419,0.90147,0.33106,0.37733,0.13838,2.38587,1.14484,1.57017,0.000720811,0.000720811,0.000720811
174,84.4036,1.43641,0.90332,1.00511,0.86027,0.33125,0.34988,0.13989,2.35152,1.11704,1.52979,0.00071531,0.00071531,0.00071531
175,84.8714,1.53491,0.92974,1.0228,0.86027,0.33125,0.34988,0.13989,2.35152,1.11704,1.52979,0.000709809,0.000709809,0.000709809
176,85.3334,1.40362,0.92916,1.06578,0.86027,0.33125,0.34988,0.13989,2.35152,1.11704,1.52979,0.000704307,0.000704307,0.000704307
177,85.7978,1.36475,1.01696,1.04326,0.86027,0.33125,0.34988,0.13989,2.35152,1.11704,1.52979,0.000698806,0.000698806,0.000698806
178,86.2853,1.52871,0.94563,1.05011,0.86284,0.33067,0.35502,0.14067,2.33356,1.11454,1.53662,0.000693305,0.000693305,0.000693305
179,86.7565,1.5383,0.96827,1.04777,0.86284,0.33067,0.35502,0.14067,2.33356,1.11454,1.53662,0.000687804,0.000687804,0.000687804
180,87.2309,1.35714,0.86414,0.97621,0.86284,0.33067,0.35502,0.14067,2.33356,1.11454,1.53662,0.000682303,0.000682303,0.000682303
181,87.7181,1.34103,0.91294,0.98717,0.86284,0.33067,0.35502,0.14067,2.33356,1.11454,1.53662,0.000676802,0.000676802,0.000676802
